company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
labeling and labels,"('labels', -8.215082613713623)","('labeling', -8.353914050176748)","('label', -8.480796483833352)","('food', -8.537644069531819)","('products', -8.766561302778483)","('consumers', -8.790351091223496)","('drug', -8.926356831210473)","('health', -9.058288267041627)","('foods', -9.093430423331363)","('industry', -9.124366293469388)"
interest rates,"('rates', -6.619365301247531)","('rate', -6.840986940515834)","('market', -7.04324652482942)","('fed', -7.05365168084131)","('inflation', -7.066597728582487)","('economy', -7.1137203263349535)","('bond', -7.239631353735945)","('prices', -7.282207382428218)","('investors', -7.2841396694437295)","('reserve', -7.310288890742605)"
political advertising,"('campaign', -7.143554931244917)","('ad', -7.735401540749084)","('republican', -7.775871398852264)","('voters', -7.852009389351388)","('democratic', -7.913225009375048)","('advertisement', -7.926014866514082)","('ads', -7.947440735526506)","('bush', -7.983623297669205)","('candidates', -7.988646862668889)","('commercials', -8.042722522947468)"
pentagon building,"('sept', -7.1846135579513035)","('attacks', -7.191313481851867)","('terrorist', -7.502051068175284)","('challenged', -7.680898423337619)","('nation', -7.703608280198316)","('trade', -7.7118219326280615)","('afghanistan', -7.785730912405598)","('terrorism', -7.808080690273724)","('bin', -7.848894323042879)","('attack', -7.896060405543009)"
serial murders,"('police', -8.389800701271055)","('sniper', -8.48659025120094)","('malvo', -8.5432460493196)","('killings', -8.749799841461858)","('serial', -8.752153354075665)","('killer', -8.765817103698947)","('killing', -8.787312398883557)","('murder', -8.81432414915073)","('county', -8.838793465196698)","('victims', -8.841737410896148)"
anthrax,"('anthrax', -7.109189341774876)","('spores', -8.470462630082526)","('postal', -8.600032594389315)","('mail', -8.75408250948436)","('health', -8.77333856032784)","('disease', -8.808415451075769)","('antibiotics', -8.858589294830782)","('bioterrorism', -8.892190271762939)","('cipro', -8.932817769914642)","('dr', -8.933176399323575)"
electronic mail,"('mail', -7.063610140149573)","('messages', -7.7308571018188745)","('internet', -7.845265287045637)","('web', -8.157470035550837)","('spam', -8.163815738185562)","('computer', -8.181790818500078)","('message', -8.283170258902802)","('users', -8.312335038266447)","('software', -8.365792189997226)","('online', -8.451511002814648)"
computer and video games,"('game', -7.374561686680184)","('games', -7.518359454539677)","('video', -7.5321435507144106)","('nintendo', -7.959848917194938)","('playstation', -8.085331540567534)","('sony', -8.225680175178653)","('xbox', -8.290487923673801)","('computer', -8.319003046109332)","('players', -8.50772619142537)","('software', -8.515458661069133)"
alcohol abuse,"('alcohol', -7.756480206220582)","('drinking', -8.04648484738913)","('abuse', -8.847752700685506)","('drug', -8.86941062512897)","('drink', -8.93452993716479)","('alcoholism', -9.139018439707817)","('students', -9.16131315655734)","('treatment', -9.191089334758566)","('drugs', -9.198276811591422)","('drunk', -9.217455352773232)"
global warming,"('warming', -7.049084497406345)","('global', -7.3365812825772805)","('emissions', -7.346257320407423)","('climate', -7.399216416563982)","('carbon', -7.497709248980064)","('greenhouse', -7.574427881926795)","('dioxide', -7.584468780426433)","('gases', -7.6643164216595485)","('environmental', -8.006636939101158)","('energy', -8.114550087843867)"
privatization,"('privatization', -7.5051784554558525)","('private', -8.055493260662448)","('companies', -8.39592418240256)","('billion', -8.451415852119181)","('social', -8.47956129319131)","('security', -8.48194882591305)","('plan', -8.602674943738572)","('workers', -8.681060901887271)","('market', -8.736886079556637)","('privatize', -8.767674608920338)"
interior design,"('design', -7.848549233280459)","('room', -8.02332322639561)","('furniture', -8.16167571464447)","('designer', -8.17850714540748)","('interior', -8.267334169357174)","('walls', -8.499338514621261)","('rooms', -8.517407263217377)","('designers', -8.527465354658567)","('apartment', -8.559052326999312)","('designed', -8.61241639789742)"
draft and recruitment (sports),"('draft', -7.161782378469596)","('pick', -7.709582194191199)","('players', -7.890827846061081)","('season', -7.934342392934804)","('player', -7.948179765254569)","('team', -7.975515735373993)","('round', -7.986759016903451)","('football', -8.035403368110622)","('league', -8.042112165469929)","('coach', -8.192001976426267)"
super bowl,"('super', -7.0956231131438665)","('bowl', -7.1500769564898015)","('football', -7.72702704571935)","('game', -7.75099656312747)","('team', -8.169201679525468)","('season', -8.254861230982408)","('quarterback', -8.266211802293475)","('coach', -8.281659469722904)","('patriots', -8.339008683694978)","('league', -8.461683342541122)"
utility vehicles and other light trucks,"('vehicles', -7.6407378708456655)","('utility', -7.82651263094331)","('sport', -7.860958687587104)","('vehicle', -7.881094296414132)","('ford', -7.974445182988445)","('cars', -8.11902977362405)","('trucks', -8.191118145432753)","('car', -8.268462392459096)","('auto', -8.425144380525706)","('pickup', -8.525941969735905)"
domestic violence,"('violence', -8.020798572875234)","('domestic', -8.06594844359615)","('police', -8.375789025283245)","('women', -8.558155620971293)","('abuse', -8.665877566808236)","('victims', -8.871622676466767)","('woman', -8.900874647468001)","('court', -8.912300067040245)","('battered', -8.925605216452539)","('husband', -9.160702292466095)"
presidential election of 1996,"('dole', -6.549089547021588)","('clinton', -6.9036870291409755)","('campaign', -7.071683006024917)","('republican', -7.073928352628213)","('presidential', -7.336557323294201)","('party', -7.464343700797475)","('republicans', -7.469792727105044)","('bob', -7.4822994908967955)","('senator', -7.6271495865583505)","('election', -7.656157628389622)"
united states open (tennis),"('tennis', -7.514030429574471)","('match', -7.9779943246522)","('seeded', -8.16064697096963)","('agassi', -8.218302532940932)","('slam', -8.229732458231517)","('tournament', -8.262336864279089)","('sampras', -8.28542224746225)","('wimbledon', -8.313218729212377)","('round', -8.393266558267726)","('player', -8.539859212006949)"
nasdaq composite index,"('stocks', -7.4345563059224204)","('nasdaq', -7.522425297980069)","('index', -7.549606562660477)","('dow', -7.593760867401242)","('stock', -7.722854458754744)","('market', -7.81066798683883)","('investors', -7.90775626264002)","('points', -7.917316015606274)","('composite', -7.9825150253423045)","('fell', -8.02787696738382)"
world cup (soccer),"('cup', -7.323397375386565)","('soccer', -7.350651781261454)","('team', -7.9357337585981425)","('game', -8.124574470531341)","('players', -8.307878805503433)","('tournament', -8.421081798607526)","('match', -8.478127815439176)","('coach', -8.482835469242062)","('goal', -8.486873367277308)","('brazil', -8.501264405414291)"
world trade center (nyc),"('sept', -6.4590208817509005)","('trade', -6.730298396609359)","('attacks', -6.732836277742164)","('terrorist', -6.9543406230774805)","('attack', -7.135462288276372)","('challenged', -7.226141589393269)","('nation', -7.238001764568233)","('terrorism', -7.257589044430318)","('afghanistan', -7.258410113892707)","('security', -7.37268328531951)"
ncaa basketball tournament,"('tournament', -7.14152582704201)","('game', -7.429821703195175)","('basketball', -7.458623788272382)","('coach', -7.557503965357222)","('team', -7.561958019466741)","('seeded', -7.607706652878421)","('points', -7.660282658638237)","('final', -7.894699006772353)","('season', -7.914972876532208)","('guard', -7.935428566625478)"
computer chips,"('chip', -7.37486210977744)","('intel', -7.437680185253437)","('chips', -7.470719455774023)","('semiconductor', -7.694116039546612)","('computer', -7.8901864970661375)","('technology', -7.994076156178836)","('computers', -8.146917585703598)","('industry', -8.38364447781985)","('market', -8.391154149705885)","('devices', -8.460036073249373)"
pensions and retirement plans,"('pension', -6.97455242451888)","('retirement', -7.49759322324836)","('pensions', -7.879849348119803)","('workers', -7.975412758752632)","('benefits', -7.979544425944325)","('funds', -8.044543574547188)","('fund', -8.049308648737739)","('employees', -8.062832441289608)","('plans', -8.065248951117212)","('401', -8.071375589144518)"
police brutality and misconduct,"('police', -6.317926292925827)","('officers', -6.660673211060865)","('officer', -6.90658168897102)","('charges', -7.696273836089488)","('diallo', -7.71823913942499)","('shooting', -7.734590405296031)","('louima', -7.7913343923791505)","('precinct', -7.796054398582073)","('attorney', -7.803951903687064)","('court', -7.874293479535874)"
whitewater case,"('whitewater', -7.376924488420816)","('clinton', -7.72947936914418)","('clintons', -8.038583863485156)","('counsel', -8.136267956904858)","('starr', -8.137744659191785)","('mcdougal', -8.203108649954668)","('arkansas', -8.297230554010037)","('investigation', -8.489008107447665)","('hillary', -8.552882455581473)","('independent', -8.642152299526803)"
vaccination and immunization,"('vaccine', -7.129939159252001)","('vaccines', -7.914700759376946)","('health', -8.185284017310583)","('disease', -8.21255883227975)","('vaccination', -8.221007395348375)","('flu', -8.290237936865118)","('smallpox', -8.335482893976105)","('dr', -8.394655364965363)","('vaccinated', -8.404669211141544)","('virus', -8.414960715416182)"
presidential election of 2000,"('gore', -6.226506234566942)","('bush', -6.422471155455127)","('campaign', -6.802992145484782)","('presidential', -6.9841398669674275)","('republican', -7.005524125773997)","('election', -7.115850882194677)","('al', -7.178170462082676)","('george', -7.211668140135997)","('2000', -7.252375895521473)","('voters', -7.268626401972091)"
computer security,"('computer', -7.833552199117954)","('internet', -7.962296634789725)","('software', -7.9736907578472485)","('security', -8.025938499659294)","('web', -8.317239738865583)","('data', -8.504470050969212)","('computers', -8.515201037292904)","('information', -8.533478730136626)","('microsoft', -8.572038975723009)","('users', -8.576109750129234)"
hispanic-americans,"('hispanic', -7.090938018302984)","('latino', -7.958916980115003)","('hispanics', -8.046887817576206)","('black', -8.07819656852107)","('spanish', -8.216247868439984)","('immigrants', -8.399493383001634)","('minority', -8.412348721712057)","('latinos', -8.455414530183036)","('students', -8.522556430639813)","('population', -8.532677160173888)"
deaths (obituaries),"('died', -6.343137150212347)","('survived', -6.657866796248344)","('born', -6.787847055371229)","('obituary', -6.8491709574789335)","('grandchildren', -7.008424533410325)","('son', -7.214078931852297)","('cause', -7.227811502057559)","('dr', -7.272416483028333)","('wrote', -7.335359295656422)","('lived', -7.340745433041163)"
organized labor,"('union', -7.243359785792022)","('labor', -7.618937259874106)","('workers', -7.628111685681393)","('unions', -7.76758363081872)","('employees', -8.257434502675174)","('strike', -8.446328499380892)","('contract', -8.589315247883103)","('agreement', -8.663993260310072)","('leaders', -8.714753163651812)","('pay', -8.721489373261171)"
presidential election of 2004,"('kerry', -6.3378880358662935)","('bush', -6.529184114315012)","('campaign', -6.91334706665133)","('2004', -7.029978038240125)","('democratic', -7.120198594796293)","('senator', -7.213890611006105)","('election', -7.250012032337272)","('presidential', -7.27319343429401)","('democrats', -7.298587891812689)","('republican', -7.377811067422663)"
presidential election of 2008,"('presidential', -8.112086331244084)","('obama', -8.11530830271625)","('senator', -8.21534749117819)","('clinton', -8.380861348819053)","('2008', -8.388160647277825)","('campaign', -8.464843421775667)","('republican', -8.522142508379314)","('candidates', -8.524814766975863)","('hillary', -8.588306664572885)","('democratic', -8.633579466517736)"
hurricane katrina,"('katrina', -7.273365302541905)","('hurricane', -7.303602558007665)","('orleans', -7.448036161158138)","('storm', -8.003587712637557)","('louisiana', -8.141983160877519)","('fema', -8.473862754042855)","('disaster', -8.618186541292612)","('gulf', -8.663984007647171)","('mississippi', -8.740704081373629)","('emergency', -8.754266095745695)"
